,Method,M,starting_alpha,alpha_0,eta1_0,phi1_0,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.0,False,False,False,3,-1199.8256200324645,2378.403825570412,28.83862280845642,1.2458604169845202,0,1.0,34,34,1.7529196359117911
1,drpm,0.1,0.0,False,False,False,4,-1273.5267928396322,2495.680078398724,44.673149824142456,1.2020624678395735,0,1.0,34,34,1.7529196359117911
2,drpm,0.1,0.1,False,False,False,3,-1200.8231370487747,2379.8517859640497,29.83029294013977,1.236129871068652,0,1.0,34,34,1.7529196359117911
3,drpm,0.1,0.1,False,False,False,4,-1271.657964247825,2491.448522737501,44.0713427066803,1.2182696654046485,0,1.0,34,34,1.7529196359117911
4,drpm,0.1,0.25,False,False,False,3,-1199.2217705808857,2377.5221947635114,27.040224075317383,1.2476272033632752,0,1.0,34,34,1.7529196359117911
5,drpm,0.1,0.25,False,False,False,4,-1268.0985093535137,2482.879522728385,45.18537902832031,1.212414221005539,0,1.0,34,34,1.7529196359117911
6,drpm,0.1,0.5,False,False,False,3,-1199.1174810754676,2376.6196717508774,28.651031017303467,1.2219595996028334,0,1.0,34,34,1.7529196359117911
7,drpm,0.1,0.5,False,False,False,4,-1271.9511793909749,2491.0083367123066,44.15022802352905,1.2120386755513957,0,1.0,34,34,1.7529196359117911
8,drpm,0.1,0.75,False,False,False,3,-1199.9683096201552,2378.662384028154,27.255165815353394,1.23743185845135,0,1.0,34,34,1.7529196359117911
9,drpm,0.1,0.75,False,False,False,4,-1201.5235869804262,2379.7067322079865,23.52509117126465,1.2325355974331171,0,1.0,34,34,1.7529196359117911
10,drpm,0.1,0.9,False,False,False,3,-1199.8000951736403,2378.3167201149886,27.488757848739624,1.2197872809264094,0,1.0,34,34,1.7529196359117911
11,drpm,0.1,0.9,False,False,False,4,-1242.4381048683888,2443.714933855525,35.36576223373413,1.218392018064721,0,1.0,34,34,1.7529196359117911
12,drpm,1.0,0.0,False,False,False,3,-1210.7057117166219,2396.4935541016603,30.687931776046753,1.2246160031807845,0,1.0,34,34,1.7529196359117911
13,drpm,1.0,0.0,False,False,False,4,-1276.7952055492296,2499.0968747707925,42.329437017440796,1.221697210279138,0,1.0,34,34,1.7529196359117911
14,drpm,1.0,0.1,False,False,False,3,-1201.2913283048013,2380.7534437820736,30.997196912765503,1.2298669580689756,0,1.0,34,34,1.7529196359117911
15,drpm,1.0,0.1,False,False,False,4,-1278.2291865585423,2501.961414811519,42.896689891815186,1.2082298136651441,0,1.0,34,34,1.7529196359117911
16,drpm,1.0,0.25,False,False,False,3,-1200.4578844886737,2379.0528643722782,27.23525595664978,1.2433858438795846,0,1.0,34,34,1.7529196359117911
17,drpm,1.0,0.25,False,False,False,4,-1277.1917919843304,2512.6483834698415,43.93948435783386,1.1853627428000613,0,1.0192307692307692,34,2,1.7529196359117911
18,drpm,1.0,0.5,False,False,False,3,-1200.7154075009619,2380.078369497639,27.591470956802368,1.2601037045218106,0,1.0,34,34,1.7529196359117911
19,drpm,1.0,0.5,False,False,False,4,-1213.9934047117686,2381.4717706082506,22.194892168045044,1.233714630835529,0,1.0,34,34,1.7529196359117911
20,drpm,1.0,0.75,False,False,False,3,-1198.797696700835,2376.2415438817193,27.31792426109314,1.2340547114418956,0,1.0,34,34,1.7529196359117911
21,drpm,1.0,0.75,False,False,False,4,-1199.597934782417,2378.4970059295642,22.054922819137573,1.2221799933465822,0,1.0,34,34,1.7529196359117911
22,drpm,1.0,0.9,False,False,False,3,-1199.0969454969181,2377.5942129865753,27.705121994018555,1.2336891801337355,0,1.0,34,34,1.7529196359117911
23,drpm,1.0,0.9,False,False,False,4,-1200.3677319652659,2379.4110883651424,22.106376886367798,1.262133857149068,0,1.0,34,34,1.7529196359117911
24,drpm,10.0,0.0,False,False,False,3,-1233.5163664323309,2431.5190377716635,38.19104599952698,1.212452362563426,0,1.0,34,34,1.7529196359117911
25,drpm,10.0,0.0,False,False,False,4,-1275.7292604077104,2497.6454614466447,40.23897910118103,1.209488059640519,0,1.0,34,34,1.7529196359117911
26,drpm,10.0,0.1,False,False,False,3,-1227.2951287102337,2421.1489265199957,37.35241484642029,1.237881005617374,0,1.0,34,34,1.7529196359117911
27,drpm,10.0,0.1,False,False,False,4,-1273.6011489355944,2486.335455497932,38.77438807487488,1.2269603903830248,0,1.0,34,34,1.7529196359117911
28,drpm,10.0,0.25,False,False,False,3,-1200.049740237571,2378.1456176283905,26.01960825920105,1.2322921131030822,0,1.0,34,34,1.7529196359117911
29,drpm,10.0,0.25,False,False,False,4,-1299.3963251466387,2537.2057115119724,44.04243087768555,1.2123245010734611,0,1.0,34,34,1.7529196359117911
30,drpm,10.0,0.5,False,False,False,3,-1245.4753858281906,2449.7003350521395,42.27964901924133,1.2032815348689627,0,1.0,34,34,1.7529196359117911
31,drpm,10.0,0.5,False,False,False,4,-1229.7825697410747,2424.428999542215,26.77809500694275,1.2446891907364361,0,1.0,34,34,1.7529196359117911
32,drpm,10.0,0.75,False,False,False,3,-1199.1314592622898,2376.646380524751,25.57607078552246,1.2197966073823736,0,1.0,34,34,1.7529196359117911
33,drpm,10.0,0.75,False,False,False,4,-1224.9004751826797,2416.7340781562593,26.296122312545776,1.2183221661034747,0,1.0,34,34,1.7529196359117911
34,drpm,10.0,0.9,False,False,False,3,-1200.018542428772,2378.396814356585,26.236765146255493,1.2176039546650752,0,1.0,34,34,1.7529196359117911
35,drpm,10.0,0.9,False,False,False,4,-1202.7657428311613,2379.5305444791434,21.706079244613647,1.242837604589072,0,1.0,34,34,1.7529196359117911
36,drpm,100.0,0.0,False,False,False,3,-1260.3261889212722,2472.0502016834675,46.505847692489624,1.2263361395400465,0,1.0,34,34,1.7529196359117911
37,drpm,100.0,0.0,False,False,False,4,-1303.6017515404108,2540.170773196313,36.716511964797974,1.2403662326726355,0,1.0,34,34,1.7529196359117911
38,drpm,100.0,0.1,False,False,False,3,-1269.7879382743442,2485.8245281780573,46.12739300727844,1.2065200226979256,0,1.0,34,34,1.7529196359117911
39,drpm,100.0,0.1,False,False,False,4,-1214.2125727400373,2405.222330636206,24.035046815872192,1.2522589020236337,2,1.2307692307692308,34,1,1.7529196359117911
40,drpm,100.0,0.25,False,False,False,3,-1270.2337340576973,2489.717927268058,46.31223487854004,1.2093085582356637,0,1.0,34,34,1.7529196359117911
41,drpm,100.0,0.25,False,False,False,4,-1230.08349291124,2423.6790340301527,27.194915056228638,1.238650266338256,1,1.3076923076923077,34,1,1.7529196359117911
42,drpm,100.0,0.5,False,False,False,3,-1213.1949098588432,2399.5890739383794,30.214282035827637,1.2254917740877298,0,1.0,34,34,1.7529196359117911
43,drpm,100.0,0.5,False,False,False,4,-1233.1178557784312,2394.7490201491755,30.1689133644104,1.2563056496763725,1,1.3653846153846154,34,1,1.7529196359117911
44,drpm,100.0,0.75,False,False,False,3,-1198.3863642483761,2375.8906829875577,23.511025190353394,1.2314748349121394,0,1.0,34,34,1.7529196359117911
45,drpm,100.0,0.75,False,False,False,4,-1247.0251035477452,2440.3187690948935,30.48576307296753,1.2225652138537313,2,1.1538461538461537,34,1,1.6792814858013652
46,drpm,100.0,0.9,False,False,False,3,-1219.5591722410368,2409.111617661617,31.7399480342865,1.2337397858318517,0,1.0,34,34,1.7529196359117911
47,drpm,100.0,0.9,False,False,False,4,-1257.2965306883523,2434.176547104097,32.153934955596924,1.2159302892324582,1,1.0961538461538463,34,1,1.7529196359117911
